case,Dice,IoU,TP,FP,FN
case_195,0.8731990827030242,0.7749364322472296,229795,19944,46795
case_196,0.9332638353258773,0.8748778434928005,154877,12498,9652
case_197,0.9137577328604825,0.8412098852190208,86187,7633,8636
case_198,0.8714834761026976,0.7722381176068668,72334,4422,16912
case_199,0.8879421809340435,0.798467638741884,252719,7429,56357
case_200,0.9323979293059427,0.8733571757684797,79610,8535,3009
case_201,0.891456733414675,0.8041695441988951,55893,4543,9068
case_202,0.8639857173607506,0.7605412454441088,68235,1969,19515
case_203,0.9043940125543216,0.8254737769942706,52444,3134,7954
case_204,0.9051382921508554,0.8267147217423461,149785,4124,27272
case_205,0.8904573742002505,0.8025445381680725,137577,12674,21175
case_206,0.8795158448789612,0.7849426882649249,80875,10837,11321
case_207,0.9279687927111743,0.8656173312883435,225753,8077,26970
case_208,0.9328730308971672,0.8741912236380484,110385,8957,6929
case_209,0.9077690102058572,0.8311144974717739,119988,11603,12779
case_210,0.9238558497040628,0.8584870804250568,213765,12482,22755
case_211,0.8810599808752833,0.7874059072125121,67261,13091,5069
case_212,0.9274957521588344,0.8647944789270368,199240,6266,24884
case_213,0.9125796453007312,0.8392151584776151,87296,6743,9982
case_214,0.8925959863825862,0.8060256016833983,73545,13252,4447
case_215,0.9118786489878321,0.8380302878347207,83560,9400,6750
case_216,0.9164229317895949,0.8457385807390003,120944,15149,6911
case_217,0.8916853885511095,0.8045417603810315,85135,11050,9633
case_218,0.9242973694243233,0.8592498922584889,151527,4209,20612
case_219,0.8644908123608648,0.7613243659950024,57279,17168,789
case_220,0.9522481307213395,0.9088488969978438,109589,6168,4823
case_221,0.8799558255107676,0.7856438572273713,51792,10051,4080
case_222,0.9026848249027237,0.8226304031771923,92796,8478,11530
case_223,0.8962535572442694,0.8120103698876595,114638,15045,11495
case_224,0.9168699069525515,0.8465002614532532,79323,9891,4493
case_225,0.9202832128132297,0.8523375979094028,121984,3148,17985
case_226,0.9135173541753248,0.8408025270223582,68142,6361,6541
case_227,0.9132478162796418,0.8403459684371223,174497,15152,18000
case_228,0.8959750287497946,0.8115532275825125,81807,8480,10516
case_229,0.9185983664109028,0.849451617122251,90927,8249,7866
case_230,0.8965611540302181,0.8125154894671623,85241,19476,193
case_231,0.8400117097057493,0.7241553356479711,47346,2799,15236
case_232,0.9087497092046424,0.8327601072548629,87892,12715,4936
case_233,0.8746741251014313,0.777262964099417,75993,6070,15707
case_234,0.8847413727432011,0.7933060109289618,63877,7220,9423
case_235,0.9415545879004984,0.8895636724740088,131683,4059,12289
case_236,0.8968404589944998,0.8129743936920075,102073,3605,19877
case_237,0.8754476644017267,0.7784854796784355,90446,12709,13027
case_238,0.8577112844182715,0.7508708373972411,86224,25744,2864
case_239,0.9322006986344872,0.8730111524163569,99807,11646,2872
case_240,0.8874444636456377,0.7976630690757498,79598,17485,2706
case_241,0.9266182581448298,0.8632700017268014,184972,16165,13132
case_242,0.8540832604332836,0.7453275015043604,82987,2935,25421
case_243,0.7750473756658828,0.6327162049121675,62780,1007,35436
case_244,0.9052438682966972,0.8268908865468072,53351,9079,2090
case_245,0.8796366226907275,0.7851351092922301,82111,6306,16165
case_246,0.8961074036426492,0.811770462633452,91243,16793,4364
case_247,0.9393544819264994,0.8856441345575026,186847,10255,13871
case_248,0.9100124185575689,0.8348832904621787,130802,2070,23799
case_249,0.8937632060687916,0.8079311870405663,94961,6679,15896
case_250,0.893030738519038,0.8067349018565289,91036,19660,2149
case_251,0.8831694453005519,0.7907819512855492,75938,7090,13001
case_252,0.944709562288212,0.8952128518634632,188462,4918,17142
case_253,0.8927282284913265,0.8062412963666287,114633,2685,24864
case_254,0.8240588639476523,0.7007654028619411,90548,12240,26425
case_255,0.9237625255899149,0.8583259248580376,107168,13985,3704
case_256,0.8902763869701259,0.8022505572711098,156917,4220,34459
case_257,0.9133547868061143,0.8405271340786259,113530,6914,14626
case_258,0.8122202254533573,0.6838138204225352,62145,14845,13890
case_259,0.9135607242719057,0.8408760109115796,87235,3845,12663
case_260,0.9264469767320761,0.8629727238920597,106748,11666,5284
case_261,0.9294967482541088,0.8682801726554179,123914,8296,10502
case_262,0.9069338210139082,0.8297153808703178,107366,18421,3614
case_263,0.9468995604102838,0.8991540833267452,170601,4870,14264
case_264,0.8912868267396485,0.8038930611049516,76857,16290,2459
case_265,0.8574554218473208,0.7504787456378252,77204,6929,18740
